PCON15CD,seat,hanrettyLeave,con_PC_2015,green_PC_2015,lab_PC_2015,ld_PC_2015,pc_PC_2015,snp_PC_2015,ukip_PC_2015,con_NUM_2015,green_NUM_2015,lab_NUM_2015,ld_NUM_2015,pc_NUM_2015,snp_NUM_2015,ukip_NUM_2015,electorate_2015,totalVotes_2015,ukip_candidate,electorate_2017,totalVotes_2017,con_NUM_2017,con_PC_2017,green_NUM_2017,green_PC_2017,lab_NUM_2017,lab_PC_2017,ld_NUM_2017,ld_PC_2017,other_NUM_2017,other_PC_2017,pc_NUM_2017,pc_PC_2017,snp_NUM_2017,snp_PC_2017,ukip_NUM_2017,ukip_PC_2017,turnout_PC_2015,turnout_PC_2017,hanrettyEstimate,age_students_18to24,age_18to24,age_65plus,cob_britain,cob_restOfEurope,cob_restOfWorld,demos_popDens,demos_nationalID,demos_nonWhiteUk,demos_noPassport,demos_religion_xian,demos_religion_muslim,demos_religion_atheist,age_students_18to24_num,age_studentsHome_num,age_studentsTerm_num,age_18to24_num,age_65plus_num,cob_britain_num,cob_restOfEurope_num,cob_restOfWorld_num,demos_popDens_num,demos_nationalID_num,demos_nonWhiteUk_num,demos_noPassport_num,demos_religion_xian_num,demos_religion_muslim_num,demos_religion_atheist_num,age_students_18to24_denom,age_studentsHome_denom,age_studentsTerm_denom,age_18to24_denom,age_65plus_denom,cob_britain_denom,cob_restOfEurope_denom,cob_restOfWorld_denom,demos_popDens_denom,demos_nationalID_denom,demos_nonWhiteUk_denom,demos_noPassport_denom,demos_religion_xian_denom,demos_religion_muslim_denom,demos_religion_atheist_denom,edu_degree_2015,edu_degree_over50,edu_noQuals_2015,edu_students_termTime,edu_students_homeTime,edu_degree_2015_num,edu_degree_over50_num,edu_noQuals_2015_num,edu_students_termTime_num,edu_students_homeTime_num,edu_degree_2015_denom,edu_degree_over50_denom,edu_noQuals_2015_denom,edu_students_termTime_denom,edu_students_homeTime_denom,econ_seg_AB,econ_seg_C1,econ_seg_C2,econ_seg_DE,econ_seg_ABC1,econ_seg_C2DE,econ_intermediate,econ_routineSemiRoutine,econ_routineSemiroutineNone,econ_seg_AB_num,econ_seg_C1_num,econ_seg_C2_num,econ_seg_DE_num,econ_seg_ABC1_num,econ_seg_C2DE_num,econ_intermediate_num,econ_routineSemiRoutine_num,econ_routineSemiroutineNone_num,econ_seg_AB_denom,econ_seg_C1_denom,econ_seg_C2_denom,econ_seg_DE_denom,econ_seg_ABC1_denom,econ_seg_C2DE_denom,econ_routineSemiRoutine_denom,econ_routineSemiroutineNone_denom,econ_intermediate_denom,econ_activityRate_2015,econ_employmentRate_2015,econ_unemploymentRate_2015,econ_unemploymentRateMen_2015,econ_activityRate_2015_num,econ_employmentRate_2015_num,econ_unemploymentRate_2015_num,econ_unemploymentRateMen_2015_num,econ_activityRate_2015_denom,econ_employmentRate_2015_denom,econ_unemploymentRate_2015_denom,econ_unemploymentRateMen_2015_denom,econ_managers_1_2015,econ_professional_2_2015,econ_tech_3_2015,econ_administrative_4_2015,econ_skilledTrades_5_2015,econ_careLeisure_6_2015,econ_sales_7_2015,econ_machines_8_2015,econ_routine_9_2015,econ_managers_1_2015_num,econ_professional_2_2015_num,econ_tech_3_2015_num,econ_administrative_4_2015_num,econ_skilledTrades_5_2015_num,econ_careLeisure_6_2015_num,econ_sales_7_2015_num,econ_machines_8_2015_num,econ_routine_9_2015_num,econ_managers_1_2015_denom,econ_professional_2_2015_denom,econ_tech_3_2015_denom,econ_administrative_4_2015_denom,econ_skilledTrades_5_2015_denom,econ_careLeisure_6_2015_denom,econ_sales_7_2015_denom,econ_machines_8_2015_denom,econ_routine_9_2015_denom,health_badHealth,health_activitiesLimitedALot,health_activiesLimitedAny,health_badHealth_num,health_activitiesLimitedALot_num,health_activiesLimitedAny_num,health_badHealth_denom,health_activitiesLimitedALot_denom,health_activiesLimitedAny_denom,econ_belowLivingWage,econ_medianHousePrice,econ_grossPayFTE
E14000679,East Ham,46.92,12.07,2.48,77.57,1.64,NA,NA,5.01,6311,1299,40563,856,NA,NA,2622,87382,52290,1,83827,56633,7241,12.79,474,0.84,47124,83.21,656,1.16,441,0.78,NA,NA,NA,NA,697,1.23,0.5984069945755419,0.6755937824328677,1,47.28,13.15,6.54,44.95,8.57,46.48,79.47,18.3,85.8,6.6,33.4,37.4,7,8700,NA,NA,19703,9800,67355,12839,69648,149842,15100,129200,9890,50047,56041,10489,18400,149842,149842,149842,149842,149842,149842,149842,1885.58,149300,149e3,149842,149842,149842,149842,33.2,5.19,13.6,117.6,115.18,25200,700,14500,21638,21193,84e3,13500,106500,18400,18400,15.86,28.74,18.67,36.73,44.6,55.4,9.39,22.03,22.04,6306,11432,7425,14608,17738,22033,10269,24097,24106,39771,39771,39771,39771,39771,39771,109376,109376,109376,69.1,61.5,11,10.9,74e3,65900,8100,4900,107200,107200,74e3,44900,8.9,6.7,7.2,7,13,8.5,12.4,7.9,27.95,5900,4400,4800,4600,8600,5600,8200,5300,18500,66200,66200,66200,66200,66200,66200,66200,66200,66200,5.53,6.91,13.96,8280,10359,20915,149842,149842,149842,31.5,35e4,28023
E14000775,Knowsley,52.44,6.64,2.5,78.12,2.94,NA,NA,9.8,3367,1270,39628,1490,NA,NA,4973,79108,50728,1,81751,55483,5137,9.26,521,0.94,47351,85.34,1189,2.14,NA,NA,NA,NA,NA,NA,1285,2.32,0.6412499367952672,0.678682829567834,1,18.52,9.64,15.78,98.37,0.61,1.02,19.17,77.9,3.9000000000000057,20.1,81.5,0.2,12.1,2e3,NA,NA,10018,16396,102219,631,1060,103910,68200,3800,20886,84687,208,12573,10800,103910,103910,103910,103910,103910,103910,103910,5419.81,101200,101100,103910,103910,103910,103910,21.5,6.28,16.1,54.67,57.56,6900,1300,10300,5904,6216,49400,20700,64e3,10800,10800,9.93,27.24,21.83,41,37.18,62.82,14.12,34.27,34.29,3221,8836,7080,13296,12057,20376,10657,25859,25874.5,32433,32433,32433,32433,32433,32433,75451,75451,75451,74.7,69.4,7.1,7.4,47900,44500,3400,1800,64e3,64e3,47900,24500,5.2,13.6,11.7,9.3,12.5,15.1,11,9.8,11.26,2300,6200,5300,4200,5600,6800,5e3,4400,5100,45300,45300,45300,45300,45300,45300,45300,45300,45300,9.99,15.01,25.43,10377,15596,26422,103910,103910,103910,26.7,116995,24803
E14000942,Northamptonshire South,52.67,60.15,3.69,16.74,5.94,NA,NA,13.48,36607,2247,10191,3613,NA,NA,8204,85781,60862,1,85756,64998,40599,62.46,1357,2.09,17759,27.32,3623,5.57,297,0.46,NA,NA,NA,NA,1363,2.1,0.7095044357142024,0.7579411353141471,1,42.86,6.39,14.65,93.2,2.15,4.65000000000001,1.78,66,8,12.8,63.4,0.8,26.8,3600,NA,NA,6939,15908,101177,2333,5052,108562,61600,15e3,13896,68828,868,29095,8400,108562,108562,108562,108562,108562,108562,108562,61033.65,132700,132700,108562,108562,108562,108562,38.7,31.03,5.7,53.35,71.88,25300,8100,4700,4481,6038,71100,26100,83700,8400,8400,31.63,33.35,19.77,15.24,64.99,35.01,14.81,19.41,19.42,10642,11220,6651,5127,21862,11778,11686,15323,15331.4,33640,33640,33640,33640,33640,33640,78931,78931,78931,84.6,83.1,1.9,NA,71e3,69700,1300,NA,83900,83900,71e3,39100,10.1,21.8,14.9,11.9,13,8.4,8.4,5.5,5.97,7100,15400,10500,8400,9100,5900,5900,3900,4200,70400,70400,70400,70400,70400,70400,70400,70400,70400,3.15,5.35,12.96,3418,5805,14072,108562,108562,108562,17.8,269995,31990
E14001032,West Ham,47.379999999999995,15.43,5.02,68.44,2.71,NA,NA,7.48,8146,2651,36132,1430,NA,NA,3950,90640,52793,1,92243,60708,9837,16.2,957,1.58,46591,76.75,1836,3.02,353,0.58,NA,NA,NA,NA,1134,1.87,0.5824470432480141,0.6581312403109179,1,44.21,13.45,6.82,48.81,12.68,38.51,91.17,22.9,81.6,7.8,46.2,26.8,12,8400,NA,NA,21271,10793,77185,20054,60903,158142,27200,148e3,12335,73062,42382,18977,19e3,158142,158142,158142,158142,158142,158142,158142,1734.59,179700,179700,158142,158142,158142,158142,52,21.77,9,111.28,108.31,46400,2700,11100,21144,20578,98600,12400,123300,19e3,19e3,17.11,30.83,18.31,33.75,47.93,52.07,9.35,22.5,22.51,8235,14839,8815,16248,23074,25063,11176,26902,26912,48137,48137,48137,48137,48137,48137,119582,119582,119582,75.9,70.4,7.3,5,93600,86800,6800,2800,123300,123300,93600,55400,10.1,16.4,16.1,11.6,7,6.1,8,5.3,18.48,8800,14200,14e3,10100,6100,5300,7e3,4600,16100,87100,87100,87100,87100,87100,87100,87100,87100,87100,5.72,7.08,13.78,9047,11204,21796,158142,158142,158142,31,36e4,27617
E14000697,Esher & Walton,41.63,62.91,4.13,12.69,9.43,NA,NA,9.74,35845,2355,7229,5372,NA,NA,5551,79894,56976,1,80938,59842,35071,58.61,1074,1.79,11773,19.67,10374,17.34,516,0.8600000000000001,NA,NA,NA,NA,1034,1.73,0.7131449170150449,0.7393560503101139,1,54.43,5.86,16.41,83.65,4.65,11.69,13.76,55.2,30.700000000000003,7.6,64,1.8,23.6,4300,NA,NA,6389,17901,91245,5076,12753,109074,40500,32e3,8290,69807,1963,25741,7900,109074,109074,109074,109074,109074,109074,109074,7926.46,109e3,109e3,109074,109074,109074,109074,61.6,50.26,4.4,64.94,87.01,32100,9500,2900,5130,6874,55300,18900,65700,7900,7900,42.72,31.76,13.61,11.91,74.48,25.52,12.6,13.46,13.47,13667,10160,4355,3811,23827,8166,9655,10319,10324,31993,31993,31993,31993,31993,31993,76640,76640,76640,79.5,74.1,6.8,5,52300,48700,3600,1400,65700,65700,52300,28700,17.6,32.3,15.1,10.9,6.1,4.7,3.6,NA,7.21,8800,16100,7600,5400,3e3,2400,1800,NA,3600,49900,49900,49900,49900,49900,49900,49900,49900,49900,3.16,5.17,12.29,3446,5641,13403,109074,109074,109074,13.8,54e4,37995
E14000844,Hampshire North East,45.92,65.88,4.38,9.8,10.48,NA,NA,8.76,35573,2364,5290,5657,NA,NA,4732,76918,54e3,1,75476,57627,37754,65.51,1476,2.56,9982,17.32,6987,12.12,367,0.64,NA,NA,NA,NA,1061,1.84,0.7020463350581139,0.7635142296889077,1,NA,6.22,16.59,91.61,2.8,5.59,2.39,61.3,13.799999999999997,9.4,65.4,0.5,25.4,NA,NA,NA,5980,15943,88027,2690,5372,96089,33100,10800,9032,62842,480,24407,8200,96089,96089,96089,96089,96089,96089,96089,40147.06,99200,99200,96089,96089,96089,96089,53.4,31.18,3.9,47.32,68.1,20200,5300,2300,3880,5584,48800,17e3,58700,8200,8200,41.96,31.69,16.06,10.3,73.65,26.35,14.33,14.98,14.99,11685,8824,4471,2867,20509,7338,9973,10428,10433.4,27847,27847,27847,27847,27847,27847,69617,69617,69617,83.6,82.4,NA,NA,49100,48400,NA,NA,58700,58700,49100,27900,13.5,27.1,20.7,8.7,9,10.2,6.8,NA,NA,6800,13800,10500,4400,4600,5200,3500,NA,NA,50800,50800,50800,50800,50800,50800,50800,50800,50800,2.63,4.63,12.12,2530,4446,11648,96089,96089,96089,19.5,408975,36599
E14000803,Maidenhead,45.41,65.83,3.56,11.87,9.91,NA,NA,8.43,35453,1915,6394,5337,NA,NA,4539,74187,53855,1,76276,58239,37718,64.76,907,1.56,11261,19.34,6540,11.23,942,1.6199999999999999,NA,NA,NA,NA,871,1.5,0.7259358108563495,0.7635298127851486,1,33.33,6.3,17.32,85.66,4.28,10.06,5.55,55.5,26.299999999999997,9.2,61.3,4.4,22.5,2600,NA,NA,6414,17628,87173,4359,10238,101770,48e3,22600,9363,62385,4478,22898,7800,101770,101770,101770,101770,101770,101770,101770,18341.38,105e3,104900,101770,101770,101770,101770,50.5,37.57,3.3,54.87,76.96,24700,7100,2100,4280,6003,52400,18900,62900,7800,7800,40.89,30.82,15.31,12.98,71.72,28.28,13.13,15.47,15.48,12165,9169,4553,3861,21334,8414,9648,11366,11372,29748,29748,29748,29748,29748,29748,73480,73480,73480,83.6,80.1,4.2,5.2,52600,50400,2200,1400,62900,62900,52600,27500,15.4,25.5,20.7,10.2,4.9,8.8,5.1,2.3,6.83,8100,13400,10900,5400,2600,4700,2700,1200,3600,52700,52700,52700,52700,52700,52700,52700,52700,52700,3.3,5.38,12.68,3363,5477,12905,101770,101770,101770,13.6,45e4,37881
E14000830,Newbury,47.51,61.03,4.06,8.44,15.02,NA,NA,10.81,34973,2324,4837,8605,NA,NA,6195,79512,57300,0,82923,60849,37399,61.46,1531,2.52,8596,14.13,13019,21.4,304,0.5,NA,NA,NA,NA,NA,NA,0.7206459402354362,0.733801237292428,1,10.61,6.92,15.2,91.58,3.14,5.28,1.8,62.4,12.799999999999997,16,63.7,0.7,26.8,700,NA,NA,7439,16339,98445,3374,5672,107491,51900,15800,17199,68472,752,28808,6600,107491,107491,107491,107491,107491,107491,107491,59679.38,106e3,105900,107491,107491,107491,107491,49.5,32.54,4.2,66.41,81.73,23900,6800,2800,4383,5394,56600,20900,65900,6600,6600,33.76,29.86,19.47,16.91,63.62,36.38,13.2,21.58,21.6,11200,9908,6460,5610,21108,12070,10305,16857,16865.9,33178,33178,33178,33178,33178,33178,78097,78097,78097,86.5,83.4,3.6,2.7,57300,55200,2e3,800,66200,66200,57300,29800,15.7,24,15.9,10.9,7,7.7,4,5.1,8.83,9300,14100,9400,6400,4100,4500,2400,3e3,5200,58900,58900,58900,58900,58900,58900,58900,58900,58900,3.19,5.49,13.37,3430,5903,14368,107491,107491,107491,10,319e3,34163
E14000841,Bedfordshire North East,53.290000000000006,59.47,4.32,15.76,5.83,NA,NA,14.62,34891,2537,9247,3418,NA,NA,8579,83551,58672,1,86988,64220,39139,60.95,1215,1.89,18277,28.46,3693,5.75,NA,NA,NA,NA,NA,NA,1896,2.95,0.7022297758255437,0.7382627488849036,1,NA,6.58,16.35,93.42,2.31,4.27,1.89,66.2,11.299999999999997,14.9,62.7,0.6,27.9,NA,NA,NA,6760,16791,95959,2369,4388,102716,77900,16600,15305,64403,616,28658,5300,102716,102716,102716,102716,102716,102716,102716,54280.09,119e3,119e3,102716,102716,102716,102716,41,26.34,5.8,83.34,108.58,21700,6900,4400,4417,5755,66400,26200,76700,5300,5300,28.99,32.63,22.17,16.21,61.62,38.38,14.45,20.27,20.29,9061,10199,6929,5066,19260,11995,10819,15179,15187.6,31255,31255,31255,31255,31255,31255,74867,74867,74867,84.6,81.8,3.4,4.7,64900,62700,2200,1600,76700,76700,64900,34e3,10.2,21.2,15.3,11.8,13.6,6.2,5.4,7.7,8.7,6600,13600,9900,7600,8800,4e3,3400,4900,5600,64400,64400,64400,64400,64400,64400,64400,64400,64400,3.62,5.89,14.38,3717,6052,14774,102716,102716,102716,27.8,282e3,34353
S14000028,Falkirk,41.99,12.14,NA,25.07,2.03,NA,57.72,3.03,7325,NA,15130,1225,NA,34831,1829,83380,60340,1,82240,53809,14088,26.18,908,1.69,16029,29.79,1120,2.08,NA,NA,NA,NA,20952,38.94,712,1.32,0.7236747421443991,0.6542923151750972,1,25.56,7.79,16.07,96.77,1.28,1.95,6.24,68,6.700000000000003,NA,NA,NA,NA,2300,NA,NA,8492,17507,105432,1399,2124,108955,83800,6400,NA,NA,NA,NA,9e3,108955,108955,108955,108955,108955,108955,108955,17467.48,104900,104900,108955,108955,108955,108955,39.1,20.26,8.6,53.29,NA,14300,4700,5800,4796,NA,56100,23200,67600,9e3,9e3,15.44,32.3,24.53,27.72,47.74,52.26,NA,NA,NA,5567,11642,8843,9993,17209,18836,NA,NA,NA,36045,36045,36045,36045,36045,36045,NA,NA,NA,80.2,75.2,6.3,7.4,54400,51e3,3400,2100,67800,67800,54400,28200,11.5,16.7,13.8,11,10.8,10.5,7.5,6.2,11.75,6e3,8700,7100,5700,5600,5500,3900,3200,6100,51900,51900,51900,51900,51900,51900,51900,51900,51900,5.43,9.58,19.98,5915,10435,21773,108955,108955,108955,18.7,11e4,28252
